"Enable Session Cleaning","Enable Session Cleaning"
"Frequency","Frequency"
"Session Cleaning","Session Cleaning"
"Start Time","Start Time"
"Some sessions files could not be deleted.","Some sessions files could not be deleted."
"Unsupported session save method: %s","Unsupported session save method: %s"
"An error occurred while cleaning database session table: %s","An error occurred while cleaning database session table: %s"
"Session cleanup Warnings","Session cleanup Warnings"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
