"Enable Session Cleaning","Activer le nettoyage de sessions"
"Frequency","Fréquence"
"Session Cleaning","Nettoyage de sessions"
"Start Time","Heure de début"
"Some sessions files could not be deleted.","Des fichiers de session n'ont pas pu être supprimés."
"Unsupported session save method: %s","Méthode de stockage des sessions non supportée : %s"
"An error occurred while cleaning database session table: %s","Une erreur est survenue lors du nettoyage de la table des sessions en base de données : %s"
"Session cleanup Warnings","Alertes de nettoyage de sessions"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
